sys_RespNum,sys_StartTime,sys_EndTime,sys_ElapsedTime,sys_SumPageTimes,sys_StartTimeStamp,sys_EndTimeStamp,sys_DataSource,sys_RespStatus,sys_DispositionCode,sys_LastQuestion,sys_UserJavaScript,sys_UserAgent,sys_OperatingSystem,sys_Browser,sys_IPAddress,sys_ScreenWidth,sys_CAPIDeviceID,ACBC1_BYO_1,ACBC1_BYO_2,ACBC1_BYO_3,ACBC1_BYO_4,ACBC1_Screener1_1,ACBC1_Screener1_2,ACBC1_Screener1_3,ACBC1_Screener1_shown,ACBC1_Screener2_1,ACBC1_Screener2_2,ACBC1_Screener2_3,ACBC1_Screener2_shown,ACBC1_Screener3_1,ACBC1_Screener3_2,ACBC1_Screener3_3,ACBC1_Screener3_shown,ACBC1_Unacceptable1,ACBC1_Unacceptable1_shown,ACBC1_Screener4_1,ACBC1_Screener4_2,ACBC1_Screener4_3,ACBC1_Screener4_shown,ACBC1_Unacceptable2,ACBC1_Unacceptable2_shown,ACBC1_MustHave1,ACBC1_MustHave1_shown,ACBC1_Screener5_1,ACBC1_Screener5_2,ACBC1_Screener5_3,ACBC1_Screener5_shown,ACBC1_Unacceptable3,ACBC1_Unacceptable3_shown,ACBC1_MustHave2,ACBC1_MustHave2_shown,ACBC1_Screener6_1,ACBC1_Screener6_2,ACBC1_Screener6_3,ACBC1_Screener6_shown,ACBC1_Unacceptable4,ACBC1_Unacceptable4_shown,ACBC1_MustHave3,ACBC1_MustHave3_shown,ACBC1_Screener7_1,ACBC1_Screener7_2,ACBC1_Screener7_3,ACBC1_Screener7_shown,ACBC1_Unacceptable5,ACBC1_Unacceptable5_shown,ACBC1_MustHave4,ACBC1_MustHave4_shown,ACBC1_Screener8_1,ACBC1_Screener8_2,ACBC1_Screener8_3,ACBC1_Screener8_shown,ACBC1_ChoiceTask1,ACBC1_ChoiceTask1_shown,ACBC1_ChoiceTask2,ACBC1_ChoiceTask2_shown,ACBC1_ChoiceTask3,ACBC1_ChoiceTask3_shown,ACBC1_ChoiceTask4,ACBC1_ChoiceTask4_shown,ACBC1_ChoiceTask5,ACBC1_ChoiceTask5_shown,ACBC1_ChoiceTask6,ACBC1_ChoiceTask6_shown,ACBC1_ChoiceTask7,ACBC1_ChoiceTask7_shown,ACBC1_ChoiceTask8,ACBC1_ChoiceTask8_shown,ACBC1_ChoiceTask9,ACBC1_ChoiceTask9_shown,ACBC1_ChoiceTask10,ACBC1_ChoiceTask10_shown,sys_ACBC_ACBC1_byo,sys_ACBC_ACBC1_atts,sys_ACBC_ACBC1_selected,sys_ACBC_ACBC1_design1,sys_ACBC_ACBC1_levelCnt1,sys_ACBC_ACBC1_attCnt1,sys_ACBC_ACBC1_rndArray1,sys_ACBC_ACBC1_rejected1,sys_ACBC_ACBC1_dealWinner1,sys_ACBC_ACBC1_dealCnt1,sys_ACBC_ACBC1_bestDEff1,sys_ACBC_ACBC1_byoIncluded1,sys_ACBC_ACBC1_design2,sys_ACBC_ACBC1_levelCnt2,sys_ACBC_ACBC1_attCnt2,sys_ACBC_ACBC1_rndArray2,sys_ACBC_ACBC1_rejected2,sys_ACBC_ACBC1_dealWinner2,sys_ACBC_ACBC1_dealCnt2,sys_ACBC_ACBC1_bestDEff2,sys_ACBC_ACBC1_byoIncluded2,sys_ACBC_ACBC1_design3,sys_ACBC_ACBC1_levelCnt3,sys_ACBC_ACBC1_attCnt3,sys_ACBC_ACBC1_rndArray3,sys_ACBC_ACBC1_rejected3,sys_ACBC_ACBC1_dealWinner3,sys_ACBC_ACBC1_dealCnt3,sys_ACBC_ACBC1_bestDEff3,sys_ACBC_ACBC1_byoIncluded3,sys_ACBC_ACBC1_design4,sys_ACBC_ACBC1_levelCnt4,sys_ACBC_ACBC1_attCnt4,sys_ACBC_ACBC1_rndArray4,sys_ACBC_ACBC1_rejected4,sys_ACBC_ACBC1_dealWinner4,sys_ACBC_ACBC1_dealCnt4,sys_ACBC_ACBC1_bestDEff4,sys_ACBC_ACBC1_byoIncluded4,sys_ACBC_ACBC1_design5,sys_ACBC_ACBC1_levelCnt5,sys_ACBC_ACBC1_attCnt5,sys_ACBC_ACBC1_rndArray5,sys_ACBC_ACBC1_rejected5,sys_ACBC_ACBC1_dealWinner5,sys_ACBC_ACBC1_dealCnt5,sys_ACBC_ACBC1_bestDEff5,sys_ACBC_ACBC1_byoIncluded5,sys_ACBC_ACBC1_design6,sys_ACBC_ACBC1_levelCnt6,sys_ACBC_ACBC1_attCnt6,sys_ACBC_ACBC1_rndArray6,sys_ACBC_ACBC1_rejected6,sys_ACBC_ACBC1_dealWinner6,sys_ACBC_ACBC1_dealCnt6,sys_ACBC_ACBC1_bestDEff6,sys_ACBC_ACBC1_byoIncluded6,sys_ACBC_ACBC1_design7,sys_ACBC_ACBC1_levelCnt7,sys_ACBC_ACBC1_attCnt7,sys_ACBC_ACBC1_rndArray7,sys_ACBC_ACBC1_rejected7,sys_ACBC_ACBC1_dealWinner7,sys_ACBC_ACBC1_dealCnt7,sys_ACBC_ACBC1_bestDEff7,sys_ACBC_ACBC1_byoIncluded7,sys_ACBC_ACBC1_design8,sys_ACBC_ACBC1_levelCnt8,sys_ACBC_ACBC1_attCnt8,sys_ACBC_ACBC1_rndArray8,sys_ACBC_ACBC1_rejected8,sys_ACBC_ACBC1_dealWinner8,sys_ACBC_ACBC1_dealCnt8,sys_ACBC_ACBC1_bestDEff8,sys_ACBC_ACBC1_byoIncluded8,sys_pagetime_1,sys_pagetime_2,sys_pagetime_3,sys_pagetime_4,sys_pagetime_5,sys_pagetime_6,sys_pagetime_7,sys_pagetime_8,sys_pagetime_9,sys_pagetime_10,sys_pagetime_11,sys_pagetime_12,sys_pagetime_13,sys_pagetime_14,sys_pagetime_15,sys_pagetime_16,sys_pagetime_17,sys_pagetime_18,sys_pagetime_19,sys_pagetime_20,sys_pagetime_21,sys_pagetime_22,sys_pagetime_23,sys_pagetime_24,sys_pagetime_25,sys_pagetime_26,sys_pagetime_27,sys_pagetime_28,sys_pagetime_29
1,27 Mar 2018 - 19:28:18 CDT,27 Mar 2018 - 19:37:24 CDT,0h 9m 6s,0h 8m 58s,1522196898,1522197444,1,5,,ThankYou,1,"Mozilla/5.0 (iPad; CPU OS 11_2_6 like Mac OS X) AppleWebKit/604.5.6 (KHTML, like Gecko) Version/11.0 Mobile/15D100 Safari/604.1",,Safari 604.1,209.147.96.7,1024,,5,4,1,1,0,1,0,"1,2,3",1,0,0,"4,5,6",1,0,1,"7,8,9",2,"[[4,2],[4,3],[2,1],[2,3]]",1,0,1,"10,11,12",0,"[[2,1],[2,3],[4,2]]",0,"[[4,1,0]]",1,0,0,"13,14,15",,,,,1,1,0,"16,18,19",,,,,0,1,1,"20,21,22",,,,,0,1,0,"23,24,25",1,"18,16",2,"0,24",1,"22,21",2,"12,10",1,"13,9",1,"7,4",2,"2,18",2,"24,22",2,"10,13",2,"7,18","5,4,1,1","1,2,3,4","18,16,0,24,22,21,12,10,13,9,7,4,2","[[1,5,2,1,2],[2,1,4,3,1],[3,4,4,1,3],[4,3,2,1,1],[5,5,3,2,1],[6,1,4,1,3],[7,1,4,2,1],[8,5,1,1,3],[9,4,2,1,1],[10,2,4,2,1],[11,5,1,1,2],[12,3,4,3,1],[13,2,4,1,2],[14,5,3,3,1],[15,5,1,3,1],[16,3,3,1,1],[17,5,4,2,3],[18,2,3,1,1],[19,4,4,2,1],[20,5,4,3,2],[21,3,1,1,1],[22,2,2,1,1],[23,5,3,1,2],[24,1,1,1,1]]","[[4,4,4,3,9],[5,4,5,10],[14,5,5],[15,5,4]]","[3,3.5,3.333,2.9997]","[{""a""=>[1,0,2,4,3],""i""=>5},{""a""=>[1,2,0,3],""i""=>2},{""a""=>[1,2,0],""i""=>1},{""a""=>[2,0,1],""i""=>2},{""a""=>[3,0,2,1],""i""=>4}]",,1,16,1,1,"[[25,4,4,1,2]]","[[4,4,4,4,9],[5,4,5,11],[15,5,5],[15,6,4]]","[3.2,3.5,3.333,3.333]","[{""a""=>[0,4,3,1,2],""i""=>0},{""a""=>[1,2,0,3],""i""=>2},{""a""=>[1,0,2],""i""=>1},{""a""=>[0,1,2],""i""=>1},{""a""=>[1,3,2,0],""i""=>4}]",[17],1,5,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,33,19,71,9,33,38,23,28,14,13,16,12,21,19,,,12,,,13,,,,10,10,10,6,11
2,29 Mar 2018 - 08:54:24 CDT,29 Mar 2018 - 08:55:01 CDT,0h 0m 37s,0h 0m 37s,1522331664,1522331701,1,2,,AttributeList,1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36 Edge/16.16299",Windows 10.0,Edge 16.16299,209.147.96.7,2133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,21,16,,,,,,,,,,,,,,,,,,,,,,,,,,
3,29 Mar 2018 - 13:35:29 CDT,29 Mar 2018 - 13:53:19 CDT,0h 17m 50s,0h 17m 46s,1522348529,1522349599,1,5,,ThankYou,1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36 Edge/16.16299",Windows 10.0,Edge 16.16299,209.147.96.7,1097,,2,3,1,2,0,1,1,"1,2,3",1,1,1,"4,5,6",0,1,0,"7,8,9",4,"[[3,2],[2,2],[1,3],[1,5]]",0,1,1,"10,11,12",1,"[[3,2]]",,,1,1,1,"14,15,16",,,,,1,1,1,"18,19,22",,,,,1,1,1,"23,25,26",,,,,0,1,1,"27,28,29",1,"0,29",2,"25,23",2,"26,22",2,"18,16",1,"14,12",2,"28,19",2,"15,11",2,"8,6",1,"0,23",2,"22,16","2,3,1,2","1,2,3,4","0,29,25,23,26,22,18,16,14,12,28,19,15,11,8,6","[[1,3,3,2,2],[2,2,1,1,3],[3,2,3,3,1],[4,1,3,3,2],[5,2,4,1,3],[6,4,3,1,1],[7,5,2,1,2],[8,2,4,3,2],[9,5,3,1,1],[10,4,2,1,2],[11,3,3,1,3],[12,3,2,1,2],[13,2,1,2,2],[14,4,4,1,2],[15,2,3,3,3],[16,1,3,1,1],[17,1,3,2,2],[18,1,4,1,2],[19,2,1,1,1],[20,2,3,2,3],[21,5,3,3,2],[22,3,1,1,2],[23,2,2,1,1],[24,5,3,2,2]]","[[4,9,4,3,4],[4,4,12,4],[14,5,5],[6,13,5]]","[3,3,3.333,3.6663]","[{""a""=>[3,2,4,0,1],""i""=>3},{""a""=>[2,1,3,0],""i""=>4},{""a""=>[0,2,1],""i""=>1},{""a""=>[1,2,0],""i""=>1},{""a""=>[1,3,0,2],""i""=>2}]",,3,18,1,1,"[[11,3,3,1,1],[16,1,3,1,3],[25,4,3,1,3],[26,1,1,1,2]]","[[5,9,4,4,4],[5,4,13,4],[16,5,5],[6,14,6]]","[3.4,3.25,3.333,3.9996]","[{""a""=>[0,2,1,4,3],""i""=>0},{""a""=>[0,3,1,2],""i""=>3},{""a""=>[2,0,1],""i""=>2},{""a""=>[1,2,0],""i""=>2},{""a""=>[3,0,2,1],""i""=>4}]","[21,24]",4,5,0.046396714190736,0,"[[16,1,3,1,1],[22,3,4,1,2],[23,2,2,1,3],[27,3,1,1,2],[28,2,2,3,2],[29,4,3,3,2]]","[[5,10,5,5,4],[5,5,14,5],[17,5,7],[6,17,6]]","[3.8,3.75,3.9996,3.9996]","[{""a""=>[0,2,1,4,3],""i""=>1},{""a""=>[1,0,2,3],""i""=>1},{""a""=>[1,2,0],""i""=>2},{""a""=>[1,2,0],""i""=>1},{""a""=>[1,0,2,3],""i""=>4}]","[13,17,20]",5,5,0.046591500309099,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,117,23,90,3,34,74,43,32,59,18,29,8,,42,,,19,,,15,,,,17,18,14,30,37
4,05 Apr 2018 - 12:48:19 CDT,05 Apr 2018 - 12:52:37 CDT,0h 4m 18s,0h 4m 13s,1522950499,1522950757,1,2,,ACBC1_Screener6,1,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/65.0.3325.162 Safari/537.36",Mac OS X 10.12.6,Chrome 65.0.3325.162,209.147.96.19,1445,,4,3,1,1,1,1,1,"1,2,3",1,1,1,"4,5,6",1,1,1,"7,8,9",,,1,1,1,"10,11,12",,,,,1,1,1,"13,14,15",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4,3,1,1","1,2,3,4",,"[[1,4,2,1,2],[2,5,1,1,1],[3,1,3,3,1],[4,4,3,2,2],[5,1,2,1,1],[6,4,1,1,3],[7,5,3,1,3],[8,3,1,1,1],[9,4,3,3,3],[10,4,2,2,1],[11,5,4,1,1],[12,5,3,2,1],[13,3,3,1,3],[14,4,4,3,1],[15,2,3,1,2],[16,4,1,2,1],[17,2,3,3,1],[18,2,4,1,1],[19,1,3,1,3],[20,4,4,1,2],[21,3,2,1,1],[22,1,3,2,1],[23,2,1,1,1],[24,4,3,3,2]]","[[4,4,3,9,4],[5,4,11,4],[14,5,5],[14,5,5]]","[3,3.25,3.333,3.333]","[{""a""=>[4,1,2,0,3],""i""=>2},{""a""=>[1,0,3,2],""i""=>0},{""a""=>[1,0,2],""i""=>1},{""a""=>[2,0,1],""i""=>2},{""a""=>[1,0,3,2],""i""=>2}]",,2,13,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,39,30,48,10,24,48,24,10,10,,4,,,6,,,,,,,,,,,,,,
5,12 Apr 2018 - 14:50:58 CDT,12 Apr 2018 - 14:52:37 CDT,0h 1m 39s,0h 1m 39s,1523562658,1523562757,1,2,,OrganizationalActivities,1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36 Edge/16.16299",Windows 10.0,Edge 16.16299,209.147.96.7,1322,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,99,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,12 Apr 2018 - 14:53:14 CDT,12 Apr 2018 - 14:53:14 CDT,0h 0m 0s,0h 0m 0s,1523562794,1523562794,1,2,,Background1,1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36 Edge/16.16299",Windows 10.0,Edge 16.16299,209.147.96.7,1337,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,08 May 2018 - 13:06:27 CDT,08 May 2018 - 13:45:29 CDT,0h 39m 2s,0h 19m 27s,1525802787,1525805129,1,5,,ThankYou,1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36 Edge/16.16299",Windows 10.0,Edge 16.16299,209.147.96.7,1477,,3,2,1,1,1,0,1,"1,2,3",1,0,1,"4,5,6",1,1,1,"7,8,9",1,"[[4,3]]",1,1,1,"10,11,13",,,,,1,1,1,"14,15,18",,,,,1,1,1,"19,20,21",,,,,1,1,,"22,23",,,,,,,,,2,"9,8",1,"10,7",1,"0,23",1,"21,20",1,"22,19",1,"15,14",2,"18,13",1,"11,6",1,"8,10",1,"0,21","3,2,1,1","1,2,3,4","9,8,10,7,0,23,21,20,22,19,15,14,18,13,11,6","[[1,1,2,1,2],[2,3,1,1,3],[3,3,3,3,1],[4,3,2,3,2],[5,2,2,1,3],[6,3,1,2,1],[7,1,2,2,1],[8,2,3,1,1],[9,2,1,1,1],[10,1,2,3,1],[11,3,3,1,2],[12,3,2,2,3],[13,1,1,1,1],[14,3,2,2,2],[15,2,2,3,1],[16,3,3,1,3],[17,1,2,1,3],[18,3,1,1,2],[19,2,2,2,1],[20,3,3,2,1],[21,1,3,1,1],[22,3,1,3,1],[23,2,2,1,2],[24,3,2,3,3]]","[[6,6,12],[6,12,6],[12,6,6],[12,6,6]]","[3.9996,3.9996,3.9996,3.9996]","[{""a""=>[2,1,0],""i""=>3},{""a""=>[0,1,2],""i""=>3},{""a""=>[2,1,0],""i""=>1},{""a""=>[1,2,0],""i""=>2},{""a""=>[2,3,0,1],""i""=>2}]",,1,20,1,1,[],"[[6,6,12],[6,12,6],[12,6,6],[12,6,6]]","[3.9996,3.9996,3.9996,3.9996]","[{""a""=>[1,0,2],""i""=>1},{""a""=>[0,2,1],""i""=>1},{""a""=>[0,2,1],""i""=>3},{""a""=>[1,0,2],""i""=>1},{""a""=>[0,1,2,3],""i""=>2}]","[12,16,17,24]",1,1,1,1,[],"[[6,6,12],[6,12,6],[12,6,6],[12,6,6]]","[3.9996,3.9996,3.9996,3.9996]","[{""a""=>[2,1,0],""i""=>3},{""a""=>[2,0,1],""i""=>2},{""a""=>[2,1,0],""i""=>1},{""a""=>[0,1,2],""i""=>2},{""a""=>[2,1,3,0],""i""=>2}]",,1,1,1,1,[],"[[6,6,12],[6,12,6],[12,6,6],[12,6,6]]","[3.9996,3.9996,3.9996,3.9996]","[{""a""=>[0,1,2],""i""=>2},{""a""=>[0,1,2],""i""=>3},{""a""=>[1,0,2],""i""=>3},{""a""=>[1,0,2],""i""=>1},{""a""=>[2,3,1,0],""i""=>2}]",,1,1,1,1,[],"[[6,6,12],[6,12,6],[12,6,6],[12,6,6]]","[3.9996,3.9996,3.9996,3.9996]","[{""a""=>[0,2,1],""i""=>3},{""a""=>[0,2,1],""i""=>1},{""a""=>[0,1,2],""i""=>3},{""a""=>[0,1,2],""i""=>2},{""a""=>[2,1,3,0],""i""=>2}]",,1,1,1,1,[],"[[6,6,12],[6,12,6],[12,6,6],[12,6,6]]","[3.9996,3.9996,3.9996,3.9996]","[{""a""=>[0,2,1],""i""=>3},{""a""=>[0,1,2],""i""=>3},{""a""=>[0,2,1],""i""=>3},{""a""=>[1,2,0],""i""=>1},{""a""=>[2,3,0,1],""i""=>2}]",,1,1,1,1,,,,,,,,,,,,,,,,,,,127,310,110,152,42,120,242,15,45,10,46,10,,,47,,,12,,,67,,,,,154,21,35,20
999999996,12 Apr 2018 - 14:50:24 CDT,12 Apr 2018 - 14:50:55 CDT,0h 0m 31s,0h 0m 31s,1523562624,1523562655,1,2,,Background1,1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36 Edge/16.16299",Windows 10.0,Edge 16.16299,209.147.96.7,1322,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,31,,,,,,,,,,,,,,,,,,,,,,,,,,,
999999997,12 Apr 2018 - 14:25:27 CDT,12 Apr 2018 - 14:25:27 CDT,0h 0m 0s,0h 0m 0s,1523561127,1523561127,1,2,,Background1,1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36 Edge/16.16299",Windows 10.0,Edge 16.16299,209.147.96.7,1337,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
999999998,12 Apr 2018 - 14:24:37 CDT,12 Apr 2018 - 14:24:57 CDT,0h 0m 20s,0h 0m 19s,1523561077,1523561097,1,2,,OrganizationalActivities,1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/65.0.3325.181 Safari/537.36",Windows 10.0,Chrome 65.0.3325.181,209.147.96.7,1482,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,19,,,,,,,,,,,,,,,,,,,,,,,,,,,
999999999,12 Apr 2018 - 12:58:36 CDT,12 Apr 2018 - 13:05:54 CDT,0h 7m 18s,0h 7m 4s,1523555916,1523556354,1,5,,ThankYou,1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36 Edge/16.16299",Windows 10.0,Edge 16.16299,209.147.96.7,1337,,3,3,1,1,1,1,0,"1,2,3",0,1,1,"4,5,6",1,0,1,"7,8,9",1,"[[4,3],[3,2]]",1,1,1,"10,11,12",,,,,1,1,1,"13,14,15",,,,,1,1,1,"16,18,20",,,,,1,1,1,"21,22,24",,,,,,,,,1,"0,24",2,"18,16",1,"7,6",2,"22,21",2,"15,14",1,"20,13",1,"10,9",1,"12,11",1,"0,16",2,"7,21","3,3,1,1","1,2,3,4","0,24,18,16,7,6,22,21,15,14,20,13,10,9,12,11","[[1,3,3,3,2],[2,2,1,1,1],[3,3,3,2,3],[4,2,3,1,3],[5,3,2,3,1],[6,1,1,1,1],[7,1,3,3,1],[8,3,1,1,3],[9,2,2,1,1],[10,1,3,2,1],[11,3,2,1,2],[12,2,3,2,1],[13,3,1,1,2],[14,2,3,3,1],[15,1,3,1,2],[16,3,2,2,1],[17,3,2,1,3],[18,3,3,2,2],[19,1,3,1,3],[20,3,1,3,1],[21,1,2,1,1],[22,3,1,2,1],[23,3,3,3,3],[24,2,3,1,2]]","[[6,6,12],[6,6,12],[12,6,6],[12,6,6]]","[3.9996,3.9996,3.9996,3.9996]","[{""a""=>[2,0,1],""i""=>3},{""a""=>[1,0,2],""i""=>2},{""a""=>[2,0,1],""i""=>2},{""a""=>[0,2,1],""i""=>2},{""a""=>[1,2,3,0],""i""=>4}]",,1,20,1,1,[],"[[6,6,12],[6,6,12],[12,6,6],[12,6,6]]","[3.9996,3.9996,3.9996,3.9996]","[{""a""=>[0,1,2],""i""=>1},{""a""=>[0,2,1],""i""=>1},{""a""=>[0,1,2],""i""=>3},{""a""=>[2,1,0],""i""=>2},{""a""=>[3,2,1,0],""i""=>4}]","[17,19,23]",1,1,0.014280489408679,0,[],"[[6,6,12],[6,6,12],[12,6,6],[12,6,6]]","[3.9996,3.9996,3.9996,3.9996]","[{""a""=>[2,1,0],""i""=>3},{""a""=>[2,0,1],""i""=>2},{""a""=>[1,2,0],""i""=>1},{""a""=>[0,1,2],""i""=>2},{""a""=>[3,1,2,0],""i""=>4}]",,1,1,0.014280489408679,0,[],"[[6,6,12],[6,6,12],[12,6,6],[12,6,6]]","[3.9996,3.9996,3.9996,3.9996]","[{""a""=>[0,2,1],""i""=>3},{""a""=>[2,0,1],""i""=>3},{""a""=>[1,0,2],""i""=>3},{""a""=>[0,1,2],""i""=>2},{""a""=>[0,3,1,2],""i""=>4}]",,1,1,0.014280489408679,0,[],"[[6,6,12],[6,6,12],[12,6,6],[12,6,6]]","[3.9996,3.9996,3.9996,3.9996]","[{""a""=>[2,0,1],""i""=>2},{""a""=>[1,0,2],""i""=>1},{""a""=>[1,0,2],""i""=>1},{""a""=>[1,0,2],""i""=>1},{""a""=>[0,3,1,2],""i""=>4}]",,1,1,0.014280489408679,0,[],"[[6,6,12],[6,6,12],[12,6,6],[12,6,6]]","[3.9996,3.9996,3.9996,3.9996]","[{""a""=>[2,1,0],""i""=>2},{""a""=>[2,1,0],""i""=>2},{""a""=>[1,2,0],""i""=>2},{""a""=>[0,2,1],""i""=>3},{""a""=>[0,3,2,1],""i""=>4}]",,1,1,0.014280489408679,0,,,,,,,,,,,,,,,,,,,19,32,15,46,7,18,24,38,22,9,7,10,,,5,,,6,,,4,,,,,39,8,10,11
